fuel_type,plant_age_years,efficiency_percent,capacity_factor_percent,load_factor,weather_impact_factor,maintenance_factor,region,grid_demand_mw,operating_temp_celsius,distance_to_grid_km,electricity_generated_mwh,co2_emissions_tonnes
Coal,8.2,31.08,52.75,0.728,1.0,1.0,West,4156.57,17.3,38.9,8877.09,13550.37
Geothermal,27.5,11.35,49.55,0.96,1.0,1.0,South,4099.04,19.0,13.1,3576.73,681.08
Natural_Gas,2.3,49.86,41.02,0.664,1.0,1.0,Central,6637.99,26.7,9.8,5037.18,1916.36
Coal,16.2,34.03,64.62,0.55,1.0,1.0,West,3570.46,6.2,30.1,6524.55,9316.65
Coal,8.8,38.27,76.98,0.756,1.0,1.0,North,5260.4,36.0,7.3,5445.28,6191.03
Natural_Gas,25.9,44.57,75.05,0.384,1.0,1.0,North,3599.36,18.9,44.5,4395.49,2367.87
Coal,35.9,37.26,62.18,0.723,1.0,1.0,Central,5635.91,20.0,93.0,9710.26,14758.37
Hydroelectric,32.3,90.5,52.63,0.927,0.895,1.0,North,4508.51,27.6,1.7,3055.25,52.13
Natural_Gas,5.7,49.08,57.51,0.526,1.0,1.0,North,4005.89,16.5,69.9,849.27,328.79
Nuclear,6.8,32.82,84.6,0.744,1.0,1.0,Central,4637.93,24.9,25.0,8358.01,234.97
Nuclear,29.4,35.18,77.99,0.743,1.0,1.0,North,5042.15,32.9,33.3,7896.0,231.98
Coal,28.7,32.71,74.28,0.886,1.0,1.0,North,1295.45,30.6,66.3,14687.12,24253.22
Hydroelectric,10.4,95.0,61.73,0.537,1.195,1.0,North,3699.28,27.3,17.0,3199.62,42.91
Wind,1.2,33.09,25.27,0.784,0.821,1.0,North,5984.83,24.7,37.3,447.84,6.88
Nuclear,22.2,38.65,85.73,0.475,1.0,1.0,Central,6365.77,5.6,64.9,5007.89,137.82
Nuclear,34.7,26.37,92.4,0.331,1.0,1.0,Central,5595.16,21.5,75.0,4000.45,186.08
Biomass,23.3,14.94,41.05,0.488,1.0,1.0,South,6065.16,31.3,10.6,1252.69,1360.87
Oil,39.6,31.93,55.37,0.788,1.0,1.0,Central,5841.18,8.1,26.4,3939.72,5747.33
Oil,3.8,38.0,48.08,0.921,1.0,0.95,South,5247.53,24.6,54.7,824.33,734.03
Natural_Gas,24.0,48.36,60.96,0.839,1.0,1.0,Central,3383.38,23.5,20.2,3597.6,1719.62
Natural_Gas,6.2,50.43,52.71,0.603,1.0,1.0,South,5757.48,13.0,16.5,1884.72,744.22
Natural_Gas,22.4,53.13,65.66,0.728,1.0,1.0,West,7477.03,27.3,12.9,3822.4,1471.93
Natural_Gas,14.5,54.58,52.52,0.334,1.0,1.0,West,4807.38,25.6,85.8,2270.37,858.17
Nuclear,7.4,31.66,85.35,0.958,1.0,1.0,South,4422.03,27.0,81.3,29526.46,789.81
Hydroelectric,26.4,87.36,36.98,0.45,0.937,1.0,North,4832.87,40.7,68.5,1174.74,19.29
Natural_Gas,28.0,43.11,57.24,0.327,1.0,1.0,Central,3756.51,32.5,99.1,1773.73,944.96
Natural_Gas,15.5,48.77,83.29,0.828,1.0,1.0,North,4340.72,57.5,39.6,8643.23,3542.43
Natural_Gas,27.4,44.2,9.54,0.358,1.0,0.95,West,6807.38,32.7,79.2,372.79,185.88
Coal,20.3,31.84,79.75,0.546,1.0,1.0,West,4779.41,30.0,86.8,10444.94,18196.83
Wind,16.5,29.04,35.63,0.707,1.043,1.0,West,4719.16,22.9,77.9,176.8,3.71
Natural_Gas,5.3,48.38,59.93,0.628,1.0,0.95,West,5971.34,33.4,24.5,4904.94,1966.7
Natural_Gas,19.6,46.52,80.38,0.985,1.0,1.0,Central,4570.48,27.9,69.8,11902.5,5256.54
Coal,12.5,34.96,62.98,0.941,1.0,1.0,West,4537.73,29.6,39.4,9362.45,12329.72
Coal,11.4,28.34,65.05,0.496,1.0,1.0,Central,4925.78,29.9,91.2,3775.68,6287.21
Hydroelectric,37.4,91.61,45.77,0.867,0.743,1.0,East,7030.81,26.1,4.6,481.22,8.06
Coal,30.2,38.04,78.08,0.808,1.0,1.0,East,4530.46,11.3,67.5,13672.63,18541.45
Oil,15.0,36.0,73.27,0.664,1.0,1.0,West,5173.51,26.7,40.9,2960.92,3472.23
Coal,9.3,38.82,52.41,0.575,1.0,1.0,South,5300.2,20.1,62.6,9010.67,9960.55
Wind,38.0,25.98,38.07,0.645,0.995,1.0,East,2271.05,3.3,58.9,977.53,29.62
Natural_Gas,28.2,47.04,74.96,0.661,1.0,1.0,Central,4647.02,17.1,18.5,9584.49,4547.21
Coal,9.0,31.1,47.17,0.783,1.0,0.95,North,7946.38,12.7,38.4,6468.94,9691.12
Coal,34.9,30.51,70.24,0.947,1.0,1.0,West,5473.45,3.1,75.0,12968.07,23582.18
Coal,35.9,34.6,81.2,0.375,1.0,1.0,East,3693.13,17.3,56.8,7713.03,13442.97
Wind,4.5,30.28,32.2,0.549,0.683,1.0,South,5116.05,40.2,43.7,373.2,6.78
Coal,12.1,35.36,50.86,0.991,1.0,1.0,North,6411.93,2.2,85.2,11628.27,15421.18
Coal,1.2,35.3,74.51,0.806,1.0,1.0,South,8064.98,34.3,19.5,14980.2,19993.47
Natural_Gas,17.6,43.45,63.9,0.502,1.0,1.0,East,3643.53,29.8,59.8,1906.63,927.38
Natural_Gas,22.4,43.18,44.81,0.362,1.0,1.0,North,5794.71,0.3,35.5,3162.42,1768.23
Solar,33.4,17.35,27.44,0.889,1.237,1.0,North,6144.27,20.6,24.3,435.8,92.01
Oil,36.4,33.41,42.49,0.8,1.0,1.0,Central,7860.53,16.6,50.8,2004.87,2970.51
Coal,22.2,35.72,77.71,0.382,1.0,1.0,East,3687.79,30.1,53.8,5185.94,7798.01
Wind,31.8,28.75,41.64,0.323,0.872,1.0,South,7463.14,25.9,38.5,457.5,11.77
Natural_Gas,24.6,57.43,21.41,0.84,1.0,0.95,East,4421.69,43.8,25.9,863.44,335.78
Natural_Gas,19.0,52.95,95.0,0.728,1.0,0.95,West,3686.71,19.0,7.8,697.87,281.5
Coal,5.1,32.57,65.98,0.886,1.0,1.0,East,4356.29,40.3,6.4,16706.92,21079.48
Natural_Gas,22.0,42.38,69.42,0.543,1.0,1.0,North,4334.78,23.1,58.2,1787.08,933.81
Coal,2.3,36.49,60.93,0.449,1.0,1.0,North,3919.05,23.4,99.7,5867.61,7040.62
Natural_Gas,30.2,47.82,57.83,0.444,1.0,1.0,Central,6629.16,8.5,71.7,1628.52,793.75
Natural_Gas,21.8,38.99,54.65,0.534,1.0,0.95,East,5357.44,17.2,64.8,3594.77,1890.13
Natural_Gas,2.1,52.2,49.08,0.77,1.0,0.95,North,4213.22,12.8,10.8,5060.69,1793.09
Coal,29.2,33.29,86.46,0.443,1.0,1.0,South,3489.37,12.5,42.7,9330.91,16406.65
Wind,11.1,39.67,20.98,0.488,0.808,1.0,South,7632.19,29.7,97.5,146.5,2.23
Hydroelectric,39.4,80.46,48.18,0.639,1.255,1.0,North,5131.55,20.8,83.7,2010.28,39.92
Geothermal,11.6,14.53,35.32,0.492,1.0,1.0,North,7716.43,16.0,73.5,296.7,40.96
Natural_Gas,25.7,55.28,55.15,0.84,1.0,1.0,South,6714.6,17.7,9.2,2423.59,993.23
Oil,12.3,35.24,36.74,0.508,1.0,1.0,South,5779.81,24.5,27.7,621.99,698.47
Natural_Gas,7.3,50.44,52.8,0.541,1.0,1.0,North,8447.7,24.5,44.0,1207.9,510.7
Coal,28.1,35.03,54.3,0.553,1.0,0.95,East,5326.26,31.9,76.1,6499.49,11508.25
