Features,Importance
Sex,33.30747738171208
Cooking_Stove,32.86093539692957
How Long Internet Daily Hour,6.666790209250238
Heating Energy Source,5.045536517404868
Energy efficiency,3.8774040785966757
Diet,3.7343491809449056
Recycling_Plastic,3.5604823967859285
Cooking_Microwave,2.9114449947408683
Recycling_Glass,2.535541558799364
Body Type,1.0251541371807138
Cooking_Airfryer,0.7407481115048474
Monthly Grocery Bill,0.7289160364849495
Recycling_Metal,0.6003250858292164
Social Activity,0.5908419120863481
Transport,0.5164910415554698
Vehicle Monthly Distance Km,0.3619618143845377
Frequency of Traveling by Air,0.29425025653622283
How Often Shower,0.20481817247079895
How Many New Clothes Monthly,0.19313197901360543
Cooking_Oven,0.182590403732169
Waste Bag Size,0.04346710911858463
Recycling_Paper,0.017342224938043393
How Long TV PC Daily Hour,0.0
Waste Bag Weekly Count,0.0
